date,description,amount,category
2024-01-28,AMC Theatres,137.08,Entertainment
2024-01-28,McDonald's,121.64,Dining
2024-01-28,Steam,125.57,Entertainment
2024-01-29,Walmart,264.95,Groceries
2024-01-29,Airbnb,1131.96,Travel
2024-01-29,Health Insurance,1272.59,Healthcare
2024-01-29,Olive Garden,75.34,Dining
2024-01-29,City Clinic,638.21,Healthcare
2024-01-29,Costco,86.5,Groceries
2024-01-29,AMC Theatres,52.24,Entertainment
2024-01-29,Delta Airlines,1776.82,Travel
2024-01-30,Water Utility,118.41,Utilities
2024-01-30,Electricity Board,194.59,Utilities
2024-01-30,Water Utility,244.26,Utilities
2024-01-30,Olive Garden,104.61,Dining
2024-01-30,Macy's,515.28,Shopping
2024-01-31,Target,675.35,Shopping
2024-01-31,Olive Garden,58.07,Dining
2024-01-31,Delta Airlines,1442.53,Travel
2024-01-31,Exam Board,254.62,Education
2024-01-31,Marriott,104.59,Travel
2024-01-31,Metro Transit,138.25,Transport
2024-01-31,Housing Society,1905.95,Housing
2024-01-31,Water Utility,73.55,Utilities
2024-01-31,Comcast,306.37,Utilities
2024-02-01,Comcast,229.77,Utilities
2024-02-01,Macy's,747.36,Shopping
2024-02-01,AMC Theatres,187.98,Entertainment
2024-02-01,Trader Joe's,116.72,Groceries
2024-02-01,Chipotle,45.48,Dining
2024-02-01,Lyft,41.99,Transport
2024-02-01,Airbnb,2701.33,Travel
2024-02-01,Metro Transit,8.59,Transport
2024-02-01,Health Insurance,423.58,Healthcare
2024-02-01,Booking.com,3065.04,Travel
2024-02-01,Bookstore,588.27,Education
2024-02-01,Gas Provider,111.56,Utilities
2024-02-01,Whole Foods,134.76,Groceries
2024-02-02,McDonald's,130.69,Dining
2024-02-02,Uber,15.79,Transport
2024-02-02,Health Insurance,463.15,Healthcare
2024-02-02,Metro Transit,166.1,Transport
2024-02-02,McDonald's,13.61,Dining
2024-02-02,Booking.com,2981.04,Travel
2024-02-02,Monthly Rent,1183.75,Housing
2024-02-02,Best Buy,252.81,Shopping
2024-02-02,Netflix,115.08,Entertainment
2024-02-02,Amazon,624.2,Shopping
2024-02-02,Target,308.26,Shopping
2024-02-02,Spotify,93.55,Entertainment
2024-02-03,Marriott,303.53,Travel
2024-02-03,Coursera,1502.29,Education
2024-02-03,Netflix,83.97,Entertainment
2024-02-03,Housing Society,2472.99,Housing
2024-02-03,Delta Airlines,939.66,Travel
2024-02-03,Electricity Board,110.67,Utilities
2024-02-03,CVS Pharmacy,1067.86,Healthcare
2024-02-03,Macy's,716.57,Shopping
2024-02-03,Property Mgmt,1355.26,Housing
2024-02-03,Whole Foods,53.95,Groceries
2024-02-03,Bookstore,1783.05,Education
2024-02-03,Comcast,189.42,Utilities
2024-02-03,Delta Airlines,2779.16,Travel
2024-02-04,Macy's,240.46,Shopping
2024-02-04,Water Utility,151.7,Utilities
2024-02-04,Electricity Board,71.21,Utilities
2024-02-04,Airbnb,2078.97,Travel
2024-02-04,Monthly Rent,1170.17,Housing
2024-02-04,Trader Joe's,179.14,Groceries
2024-02-04,Best Buy,156.71,Shopping
2024-02-05,Comcast,117.06,Utilities
2024-02-05,City Clinic,907.17,Healthcare
2024-02-06,Housing Society,1813.36,Housing
2024-02-06,Uber,163.73,Transport
2024-02-06,Trader Joe's,46.54,Groceries
2024-02-06,Target,137.71,Shopping
2024-02-06,Best Buy,666.73,Shopping
2024-02-06,Monthly Rent,995.27,Housing
2024-02-07,Monthly Rent,1556.68,Housing
2024-02-07,Whole Foods,380.03,Groceries
2024-02-07,Housing Society,1402.15,Housing
2024-02-07,Netflix,215.17,Entertainment
2024-02-07,Housing Society,2007.21,Housing
2024-02-07,Starbucks,60.99,Dining
2024-02-07,Marriott,117.89,Travel
2024-02-07,Electricity Board,171.14,Utilities
2024-02-07,Macy's,636.9,Shopping
2024-02-07,Steam,201.83,Entertainment
2024-02-07,Olive Garden,136.39,Dining
2024-02-07,Olive Garden,60.59,Dining
2024-02-07,Netflix,99.11,Entertainment
2024-02-07,Gas Provider,70.98,Utilities
2024-02-07,Whole Foods,151.27,Groceries
2024-02-08,AMC Theatres,105.04,Entertainment
2024-02-08,CVS Pharmacy,1046.96,Healthcare
2024-02-08,City Clinic,312.13,Healthcare
2024-02-08,Housing Society,1126.97,Housing
2024-02-08,Target,712.59,Shopping
2024-02-08,Lyft,129.2,Transport
2024-02-08,Housing Society,1125.15,Housing
2024-02-08,Housing Society,1896.4,Housing
2024-02-08,Water Utility,276.21,Utilities
2024-02-08,McDonald's,138.68,Dining
2024-02-08,Property Mgmt,2045.29,Housing
2024-02-09,LabCorp,833.06,Healthcare
2024-02-09,Olive Garden,110.28,Dining
2024-02-09,Costco,109.89,Groceries
2024-02-09,Starbucks,127.49,Dining
2024-02-09,Coursera,1093.02,Education
2024-02-09,Health Insurance,60.63,Healthcare
2024-02-09,Electricity Board,305.68,Utilities
2024-02-09,Metro Transit,58.82,Transport
2024-02-09,Netflix,22.34,Entertainment
2024-02-09,Starbucks,95.54,Dining
2024-02-09,Water Utility,110.02,Utilities
2024-02-09,Spotify,65.09,Entertainment
2024-02-09,Housing Society,1659.47,Housing
2024-02-10,Comcast,46.99,Utilities
2024-02-10,Uber,66.51,Transport
2024-02-10,Udemy,702.85,Education
2024-02-10,City Clinic,375.62,Healthcare
2024-02-10,Electricity Board,143.85,Utilities
2024-02-10,Shell,29.56,Transport
2024-02-10,City Clinic,775.03,Healthcare
2024-02-10,Monthly Rent,1878.64,Housing
2024-02-10,Costco,114.13,Groceries
2024-02-10,Booking.com,780.03,Travel
2024-02-10,Costco,258.17,Groceries
2024-02-10,Best Buy,644.9,Shopping
2024-02-10,Amazon,288.56,Shopping
2024-02-11,LabCorp,713.15,Healthcare
2024-02-11,Lyft,112.87,Transport
2024-02-11,Monthly Rent,2416.24,Housing
2024-02-11,Health Insurance,995.85,Healthcare
2024-02-11,Lyft,68.41,Transport
2024-02-11,Macy's,635.67,Shopping
2024-02-11,Property Mgmt,1808.86,Housing
2024-02-11,Trader Joe's,146.54,Groceries
2024-02-12,Netflix,200.01,Entertainment
2024-02-12,Macy's,722.65,Shopping
2024-02-12,Netflix,127.67,Entertainment
2024-02-12,Trader Joe's,170.63,Groceries
2024-02-12,Walmart,243.25,Groceries
2024-02-12,Housing Society,2319.56,Housing
2024-02-12,Shell,119.0,Transport
2024-02-12,Walmart,250.38,Groceries
2024-02-12,Gas Provider,185.27,Utilities
2024-02-13,Whole Foods,126.29,Groceries
2024-02-13,Housing Society,1336.49,Housing
2024-02-13,McDonald's,113.98,Dining
2024-02-13,City Clinic,988.09,Healthcare
2024-02-13,Shell,34.83,Transport
2024-02-13,Trader Joe's,100.82,Groceries
2024-02-14,Amazon,419.05,Shopping
2024-02-14,Udemy,1443.51,Education
2024-02-14,Comcast,290.69,Utilities
2024-02-14,Health Insurance,216.91,Healthcare
2024-02-14,Property Mgmt,2411.1,Housing
2024-02-14,McDonald's,146.27,Dining
2024-02-14,Property Mgmt,2020.51,Housing
2024-02-14,McDonald's,123.57,Dining
2024-02-15,Best Buy,523.8,Shopping
2024-02-15,Marriott,2532.82,Travel
2024-02-15,LabCorp,1126.42,Healthcare
2024-02-15,Property Mgmt,1723.93,Housing
2024-02-15,Water Utility,174.53,Utilities
2024-02-15,Chipotle,70.46,Dining
2024-02-15,Comcast,76.05,Utilities
2024-02-15,Metro Transit,149.19,Transport
2024-02-15,City Clinic,681.84,Healthcare
2024-02-15,Booking.com,2925.53,Travel
2024-02-15,AMC Theatres,41.21,Entertainment
2024-02-15,Best Buy,588.46,Shopping
2024-02-15,City Clinic,328.89,Healthcare
2024-02-15,Steam,190.49,Entertainment
2024-02-15,Monthly Rent,1701.84,Housing
2024-02-16,Steam,229.53,Entertainment
2024-02-16,Costco,136.24,Groceries
2024-02-16,Coursera,1334.36,Education
2024-02-16,Netflix,154.05,Entertainment
2024-02-16,Steam,124.6,Entertainment
2024-02-16,Health Insurance,697.51,Healthcare
2024-02-16,Marriott,83.75,Travel
2024-02-16,Housing Society,2037.34,Housing
2024-02-16,Best Buy,2041.68,Shopping
2024-02-16,Housing Society,1249.18,Housing
2024-02-16,Target,622.64,Shopping
2024-02-16,LabCorp,704.66,Healthcare
2024-02-16,Comcast,259.74,Utilities
2024-02-17,CVS Pharmacy,61.11,Healthcare
2024-02-17,Housing Society,1177.75,Housing
2024-02-17,CVS Pharmacy,453.85,Healthcare
2024-02-17,McDonald's,133.62,Dining
2024-02-17,Property Mgmt,1221.9,Housing
2024-02-17,Comcast,112.99,Utilities
2024-02-17,Udemy,1709.2,Education
2024-02-17,Airbnb,875.74,Travel
2024-02-17,AMC Theatres,236.14,Entertainment
2024-02-17,Chipotle,149.91,Dining
2024-02-17,Costco,36.11,Groceries
2024-02-17,Marriott,3162.28,Travel
2024-02-17,Metro Transit,168.21,Transport
2024-02-17,Costco,156.82,Groceries
2024-02-17,Udemy,766.2,Education
2024-02-17,Walmart,167.34,Groceries
2024-02-17,Chipotle,32.75,Dining
2024-02-17,Water Utility,133.2,Utilities
2024-02-17,Spotify,19.15,Entertainment
2024-02-17,Electricity Board,39.26,Utilities
2024-02-17,Chipotle,110.0,Dining
2024-02-18,Whole Foods,199.99,Groceries
2024-02-18,Health Insurance,632.22,Healthcare
2024-02-18,Best Buy,598.05,Shopping
2024-02-18,Gas Provider,217.84,Utilities
2024-02-18,Health Insurance,789.44,Healthcare
2024-02-18,LabCorp,803.05,Healthcare
2024-02-18,Property Mgmt,2224.15,Housing
2024-02-18,Bookstore,1614.53,Education
2024-02-18,Water Utility,203.99,Utilities
2024-02-19,Macy's,622.17,Shopping
2024-02-19,LabCorp,1031.39,Healthcare
2024-02-19,Trader Joe's,135.74,Groceries
2024-02-19,Water Utility,245.34,Utilities
2024-02-19,Health Insurance,1025.78,Healthcare
2024-02-19,Bookstore,1199.26,Education
2024-02-19,Health Insurance,996.06,Healthcare
2024-02-19,Starbucks,113.41,Dining
2024-02-19,Costco,173.82,Groceries
2024-02-19,Walmart,240.34,Groceries
2024-02-20,Metro Transit,122.31,Transport
2024-02-20,Property Mgmt,2273.64,Housing
2024-02-20,McDonald's,92.05,Dining
2024-02-20,Target,627.6,Shopping
2024-02-20,Starbucks,135.74,Dining
2024-02-20,Housing Society,2167.28,Housing
2024-02-20,LabCorp,485.58,Healthcare
2024-02-20,Chipotle,129.48,Dining
2024-02-20,Uber,104.63,Transport
2024-02-20,Water Utility,157.96,Utilities
2024-02-21,Delta Airlines,3243.25,Travel
2024-02-21,Marriott,1714.41,Travel
2024-02-21,Health Insurance,485.23,Healthcare
2024-02-21,Comcast,74.88,Utilities
2024-02-21,Starbucks,65.57,Dining
2024-02-21,LabCorp,1376.74,Healthcare
2024-02-21,Monthly Rent,1735.37,Housing
2024-02-21,Best Buy,120.01,Shopping
2024-02-21,Bookstore,1634.19,Education
2024-02-21,Shell,89.19,Transport
2024-02-21,Trader Joe's,178.47,Groceries
2024-02-22,Water Utility,303.95,Utilities
2024-02-22,Comcast,129.91,Utilities
2024-02-22,Electricity Board,216.94,Utilities
2024-02-22,Spotify,100.66,Entertainment
2024-02-22,Whole Foods,68.3,Groceries
2024-02-23,Macy's,567.99,Shopping
2024-02-23,Housing Society,927.93,Housing
2024-02-23,City Clinic,929.46,Healthcare
2024-02-23,Marriott,1259.79,Travel
2024-02-23,Starbucks,169.26,Dining
2024-02-23,City Clinic,69.53,Healthcare
2024-02-24,CVS Pharmacy,111.58,Healthcare
2024-02-24,Shell,73.84,Transport
2024-02-24,Booking.com,975.74,Travel
2024-02-24,City Clinic,1070.91,Healthcare
2024-02-24,Property Mgmt,1535.05,Housing
2024-02-24,Costco,137.41,Groceries
2024-02-24,Starbucks,11.48,Dining
2024-02-24,Airbnb,1172.36,Travel
2024-02-24,City Clinic,435.95,Healthcare
2024-02-24,Netflix,90.35,Entertainment
2024-02-24,Coursera,209.7,Education
2024-02-24,Airbnb,462.86,Travel
2024-02-24,Amazon,682.67,Shopping
2024-02-24,Udemy,619.95,Education
2024-02-24,Steam,88.92,Entertainment
2024-02-24,Monthly Rent,2362.77,Housing
2024-02-24,Chipotle,153.82,Dining
2024-02-24,Steam,160.9,Entertainment
2024-02-25,Housing Society,1986.79,Housing
2024-02-25,City Clinic,391.86,Healthcare
2024-02-25,LabCorp,27.01,Healthcare
2024-02-25,Costco,238.15,Groceries
2024-02-25,Monthly Rent,1907.67,Housing
2024-02-25,Trader Joe's,150.61,Groceries
2024-02-25,Chipotle,52.42,Dining
2024-02-25,Airbnb,1212.4,Travel
2024-02-25,City Clinic,421.51,Healthcare
2024-02-25,Delta Airlines,2111.22,Travel
2024-02-25,Olive Garden,141.59,Dining
2024-02-26,Spotify,217.42,Entertainment
2024-02-26,Airbnb,6236.0,Travel
2024-02-26,McDonald's,122.07,Dining
2024-02-26,Trader Joe's,152.51,Groceries
2024-02-26,Costco,275.78,Groceries
2024-02-26,Comcast,38.91,Utilities
2024-02-26,Steam,429.76,Entertainment
2024-02-26,CVS Pharmacy,658.39,Healthcare
2024-02-26,Water Utility,173.64,Utilities
2024-02-26,Airbnb,2396.62,Travel
2024-02-27,Property Mgmt,1025.55,Housing
2024-02-27,Best Buy,418.86,Shopping
2024-02-27,AMC Theatres,83.02,Entertainment
2024-02-27,Housing Society,1056.64,Housing
2024-02-27,Walmart,164.26,Groceries
2024-02-27,Health Insurance,440.37,Healthcare
2024-02-27,Amazon,693.65,Shopping
2024-02-27,Coursera,1090.13,Education
2024-02-28,Amazon,77.51,Shopping
2024-02-28,Uber,68.22,Transport
2024-02-28,Best Buy,288.36,Shopping
2024-02-28,Trader Joe's,46.6,Groceries
2024-02-28,Macy's,185.86,Shopping
2024-02-28,Marriott,895.82,Travel
2024-02-29,Trader Joe's,115.87,Groceries
2024-02-29,Uber,79.78,Transport
2024-02-29,Starbucks,143.9,Dining
2024-02-29,Amazon,520.96,Shopping
2024-02-29,Metro Transit,147.05,Transport
2024-02-29,Housing Society,2211.34,Housing
2024-02-29,Netflix,150.68,Entertainment
2024-02-29,Exam Board,327.45,Education
2024-02-29,Health Insurance,1136.62,Healthcare
2024-02-29,Uber,50.05,Transport
2024-02-29,Trader Joe's,49.99,Groceries
2024-03-01,Electricity Board,57.64,Utilities
2024-03-01,Health Insurance,780.62,Healthcare
2024-03-01,Uber,130.12,Transport
2024-03-01,Comcast,261.82,Utilities
2024-03-01,Airbnb,2420.3,Travel
2024-03-01,Property Mgmt,1507.42,Housing
2024-03-01,Whole Foods,269.29,Groceries
2024-03-01,Electricity Board,263.42,Utilities
2024-03-01,Water Utility,138.23,Utilities
2024-03-01,Gas Provider,73.39,Utilities
2024-03-01,Metro Transit,173.07,Transport
2024-03-01,Shell,141.63,Transport
2024-03-02,Chipotle,29.3,Dining
2024-03-02,Best Buy,664.28,Shopping
2024-03-02,Monthly Rent,1664.26,Housing
2024-03-02,Steam,19.79,Entertainment
2024-03-02,Metro Transit,51.23,Transport
2024-03-02,Delta Airlines,1694.99,Travel
2024-03-02,Lyft,172.73,Transport
2024-03-02,Netflix,128.04,Entertainment
2024-03-02,Gas Provider,208.03,Utilities
